ลำดับ,ชื่อสถานที่,คำอธิบาย,ที่อยู่,ตำแหน่งละติจูด,ตำแหน่งลองติจูด,เบอร์ติดต่อ
1,ศาลจังหวัดนครปฐม,สถานที่ราชการส่วนท้องถิ่น,Q375+VFG Unnamed Road ตำบล ถนนขาด อำเภอเมืองนครปฐม นครปฐม 73000,13.765122,100.0587537,34240300
2,ศาลากลางจังหวัดนครปฐม,สถานที่ราชการส่วนท้องถิ่น,สนง ตำบล ถนนขาด อำเภอเมืองนครปฐม นครปฐม 73000,13.76692233,100.0588111,34340004
3,สำนักงาน ป.ป.ช. ประจำจังหวัดนครปฐม,สถานที่ราชการ,Q374+HXV ศูนย์ราชการจังหวัดนครปฐม ถนนขาด อำเภอเมืองนครปฐม นครปฐม 73000,13.76427535,100.0573467,34272652
4,สำนักงานคุมประพฤติจังหวัดนครปฐม,สถานที่ราชการ,17 1 ตำบล ถนนขาด อำเภอเมือง นครปฐม 73000,13.77733539,100.0554178,34340287
5,ท้าวเวสสุวรรณ วัดจุฬามณี องค์ใหญ่,สถานที่ทางศาสนา,93 หมู่ที่ 9 ถ. สมุทรสงคราม - บางแพ ตำบล บางช้าง อำเภออัมพวา สมุทรสงคราม 75110,13.42596067,99.96571412,
6,วัดนักบุญอันตน ดอนมดตะนอย ราชบุรี,สถานที่ทางศาสนา,4037 Rural Rd. ตำบล แพงพวย อำเภอดำเนินสะดวก ราชบุรี 70130,13.59192663,99.93953692,32745138
7,ที่ทำการองค์การบริหารส่วนตำบลแพงพวย,สถานที่ราชการ,HWVQ+FGF ตำบล แพงพวย อำเภอดำเนินสะดวก ราชบุรี 70130,13.59451285,99.93889319,32745341
8,วัดหลวงพ่อสดธรรมกายาราม,สถานที่ทางศาสนา,109 ตำบล แพงพวย อำเภอดำเนินสะดวก ราชบุรี 70130,13.61346438,99.94715911,905955162
9,สนามเครื่องบินบังคับโพธาราม,สถานที่ท้องถิ่น,PV4R+2F2 ตำบล บ้านเลือก อำเภอโพธาราม ราชบุรี 70120,13.70522691,99.89112806,923162977
10,Khao Changum,สถานที่ท้องเที่ยว,ตำบล เขาชะงุ้ม อำเภอโพธาราม ราชบุรี 70120,13.72936089,99.74431783,
11,วัดถ้ำเจริญธรรม,สถานที่ทางศาสนา,ตำบล หนองหญ้า อำเภอเมืองกาญจนบุรี กาญจนบุรี 71000,13.93692036,99.46816563,
12,สวนสมเด็จพระศรีนครินทร์ กาญจนบุรี,สถานที่ท้องเที่ยว,XFQ3+WH8 ตำบล หนองหญ้า อำเภอเมืองกาญจนบุรี กาญจนบุรี 71000,13.99387241,99.45342421,
13,มหาวิทยาลัยราชภัฏกาญจนบุรี,สถารที่ศึกษา,3C5G+J66 ตำบล หนองบัว อำเภอเมืองกาญจนบุรี กาญจนบุรี 71190,14.06261254,99.42567944,
14,ไมด้ากอล์ฟ กาญจนบุรี,สถานที่ท้องเที่ยว,123 ตำบล ลาดหญ้า อำเภอเมืองกาญจนบุรี กาญจนบุรี 71190,14.03230447,99.34002042,811731976
15,วัดบ้านถ้ำ,สถานที่ทางศาสนา,ต.เขาน้อย อ.ท่าม่วง จ.กาญจนบุรี 711110 ตำบล เขาน้อย อำเภอท่าม่วง กาญจนบุรี 71110,13.97407094,99.57814693,
16,วัดถ้ำเสือ,สถานที่ทางศาสนา,XJ34+H36 ตำบล ม่วงชุม อำเภอท่าม่วง กาญจนบุรี 71110,13.95647072,99.6048011,
17,มีนา คาเฟ่,สถานที่ท้องเที่ยว,75/18 Muang ตำบล ม่วงชุม อำเภอท่าม่วง กาญจนบุรี 71110,13.95138955,99.6003379,
18,ขุนเขาแคมป์,สถานที่ท้องเที่ยว,65 ตำบล เขาน้อย อำเภอท่าม่วง กาญจนบุรี 71110,13.90257133,99.58471672,
19,ศาลากลางจังหวัดกาญจนบุรี,สถานที่ราชการ,2G3X+JH5 ตำบล ปากแพรก อำเภอเมืองกาญจนบุรี กาญจนบุรี 71000,14.00420507,99.54898107,34511778
20,Baanpunn Specialty coffee & Bistro,สถานที่ท้องเที่ยว,16 ถ.แม่น้ำแม่กลอง ปากแพรก เมือง Kanchanaburi 71000,14.00217394,99.54596898,860823376
